Topic,Sub topic,Query name,Internal ID,Query
Ankle Joint,GRAVITY Synchfix,filterset,E562868576FB11EE8894D8C497B5E817,"""GRAVITY Synchfix"" OR GRAVITYSynchfix"
Beams,SALVATION Beams,filterset,B7BDB923784911EC8859D8C497B5E93E,"(""salvation beams"" OR salvationbeams OR ""salvation beam"" OR salvationbeam) AND (stryker OR wright*)"
Bone Graft,Osteoset/t,filterset,704DB5DC675211EDAF36D8C497B5E817,osteoset*
Competitors,Depuy-Synthes,English,F9D4E4E6784811EC8859D8C497B5E93E,"((""Depuy-Synthes"" OR ""DepuySynthes"") NEAR/9 (recall* OR ""product recall"" OR ""safety notice"" OR ""advisory notice"" OR ""market removal"" OR ""product field action"" OR ""pfa"" OR ""field safety corrective action"" OR ""field corrective action*"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Depuy-Synthes,French,F9D943CF784811EC9ADCD8C497554706,"((""Depuy-Synthes"" OR ""DepuySynthes"") AND (rappel* OR ""rappel produit*"" OR ""avis de sécurité"" OR ""consigne de securité"" OR ""notice de securité"" OR ""avertissement de sécurité"" OR  ""retrait du marché"" OR ""retiré du marché"" OR ""action* menée*"" OR ""action de terrain"" OR ""mesures prises"" OR ""champ d'action"" OR ""pfa"" OR ""action corrective de securite"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Depuy-Synthes,German,F9E2E883784811EC978AD8C497D0D2A9,"((""depuy-synthes"" OR ""depuysynthes"") NEAR/9 (""rückruf"" OR ""produktrückruf"" OR ""sicherheitshinweis"" OR ""beratungshinweis"" OR ""marktrücknahme"" OR ""product field action"" OR ""produktfeld aktion"" OR ""produktfeldaktion"" OR ""produktfeldaktionen"" OR ""pfa"" OR ""field safety corrective action"" OR ""sicherheitskorrekturmaßnahmen im feld"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Depuy-Synthes,Italian,F9D19CBF784811EC978AD8C497D0D2A9,"((""depuy-synthes"" OR ""depuysynthes"") NEAR/9 (recall* OR ""richiamare"" OR ""richiamo del prodotto"" OR ""richiamo del prodotto"" OR ""richiamo di prodotti"" OR ""avviso di sicurezza"" OR ""avviso sulla sicurezza"" OR ""avviso di consulenza"" OR ""rimozione dal mercato del prodotto"" OR ""azione sul campo del prodotto"" OR ""azione correttiva di sicurezza sul campo"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Depuy-Synthes,Portuguese,F9CCA7B0784811ECBCE5D8C497B5E817,"((""depuy-synthes"" OR ""depuysynthes"") NEAR/9 (""recall*"" OR ""recolha de produto"" OR ""aviso de segurança"" OR ""aviso de consulta"" OR ""remoção de produtos do mercado"" OR ""acção de campo de produto"" OR ""ação corretiva de segurança no terreno"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Depuy-Synthes,Spanish,F9DE9D4C784811ECBCE5D8C497B5E817,"((""depuy-synthes"" OR ""depuysynthes"") NEAR/9 (""retirada"" OR ""retirada de productos"" OR ""aviso de seguridad"" OR ""aviso consultivo"" OR ""eliminación del mercado"" OR ""acción de campo del producto"" OR ""pfa"" OR ""acción correctiva de seguridad de campo"" OR ""fscn"")) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
Competitors,Integra Lifesciences,English,F9A55CD66D1E11EAB588A4BF010A3E06,"((""integra lifesciences"" OR integralifesciences) NEAR/9 (recall* OR ""product recall"" OR ""safety notice"" OR ""advisory notice"" OR ""market removal"" OR ""product field action"" OR ""pfa"" OR ""field safety corrective action"" OR fscn)) NOT (trends* OR NYSE OR stock* OR value OR share OR shareholder* OR ""share holder*"" OR bid OR forecast* OR financ* OR Benchmar* OR profits OR valeur OR bourse OR ""wall street"" OR mercado OR mercato OR super_stryker OR ""mortal kombat"" OR mortalkombat* OR ejercito* OR soldad* OR predator* OR R6 OR rainbow6 OR ""rainbow 6"" OR gun OR gunporn* OR trigger*)"
